session_id,user_id,model_id,model_name,day,cleaning_mode,cleaning_mode_encoded,cleaning_time_min,start_battery_pct,end_battery_pct,battery_drop_pct,consumption_rate,ambient_temp_c,soh,aborted,recent_avg_consumption_rate,last_session_time_min,last_battery_drop_pct,available_time_min
S00002,A-1_U1,A-1,가끔·방치형,9,표준,1,7.8,83.4,62.5,20.8,2.671,12.7,0.995,0,2.644,5.9,15.6,28.75
S00003,A-1_U1,A-1,가끔·방치형,12,표준,1,4.1,62.0,50.1,11.9,2.895,15.0,0.9789,0,2.657,7.8,20.8,20.25
S00004,A-1_U1,A-1,가끔·방치형,18,표준,1,7.9,50.4,29.9,20.5,2.599,17.8,0.9945,0,2.737,4.1,11.9,17.5
S00005,A-1_U1,A-1,가끔·방치형,19,표준,1,11.2,100.0,70.0,30.0,2.677,14.8,0.9879,0,2.702,7.9,20.5,34.5
S00006,A-1_U1,A-1,가끔·방치형,26,표준,1,7.3,70.6,51.6,19.0,2.597,13.8,0.958,0,2.697,11.2,30.0,24.5
S00007,A-1_U1,A-1,가끔·방치형,29,표준,1,7.3,51.2,31.0,20.1,2.758,14.9,0.9867,0,2.688,7.3,19.0,16.5
S00008,A-1_U1,A-1,가끔·방치형,38,표준,1,8.2,99.9,78.8,21.1,2.568,16.8,1.0,0,2.705,7.3,20.1,36.5
S00009,A-1_U1,A-1,가끔·방치형,39,표준,1,12.0,77.5,44.6,32.9,2.743,15.0,1.0,0,2.64,8.2,21.1,26.5
S00010,A-1_U1,A-1,가끔·방치형,46,표준,1,13.0,45.0,8.8,36.2,2.788,16.1,0.9776,0,2.669,12.0,32.9,14.5
S00011,A-1_U1,A-1,가끔·방치형,52,표준,1,4.7,99.8,87.2,12.6,2.67,16.1,0.9495,0,2.691,13.0,36.2,35.5
S00012,A-1_U1,A-1,가끔·방치형,56,표준,1,13.4,87.5,53.4,34.1,2.545,17.4,0.97,0,2.705,4.7,12.6,31.25
S00013,A-1_U1,A-1,가끔·방치형,61,표준,1,6.3,53.4,36.2,17.2,2.73,16.1,0.9723,0,2.663,13.4,34.1,17.5
S00014,A-1_U1,A-1,가끔·방치형,69,표준,1,10.1,36.3,7.5,28.8,2.85,22.7,0.9762,0,2.695,6.3,17.2,10.5
S00015,A-1_U1,A-1,가끔·방치형,72,표준,1,6.1,91.8,75.6,16.2,2.656,18.4,0.9722,0,2.717,10.1,28.8,31.5
S00016,A-1_U1,A-1,가끔·방치형,79,표준,1,10.1,75.7,50.8,24.9,2.468,20.4,0.9881,0,2.69,6.1,16.2,27.0
S00017,A-1_U1,A-1,가끔·방치형,89,표준,1,10.1,50.0,21.6,28.4,2.807,20.6,0.9827,0,2.65,10.1,24.9,15.0
S00018,A-1_U1,A-1,가끔·방치형,90,표준,1,5.6,100.0,85.5,14.5,2.591,20.3,0.9962,0,2.702,10.1,28.4,36.75
S00019,A-1_U1,A-1,가끔·방치형,94,표준,1,3.0,85.6,77.8,7.8,2.607,19.9,0.993,0,2.674,5.6,14.5,31.25
S00020,A-1_U1,A-1,가끔·방치형,96,표준,1,7.0,76.8,58.0,18.8,2.686,20.2,1.0,0,2.626,3.0,7.8,26.5
S00021,A-1_U1,A-1,가끔·방치형,101,표준,1,4.4,58.5,46.3,12.1,2.759,20.7,1.0,0,2.632,7.0,18.8,19.25
S00022,A-1_U1,A-1,가끔·방치형,108,표준,1,6.2,45.4,28.8,16.6,2.677,22.5,0.9855,0,2.69,4.4,12.1,15.0
S00023,A-1_U1,A-1,가끔·방치형,116,표준,1,6.2,100.0,84.7,15.3,2.468,23.2,1.0,0,2.664,6.2,16.6,38.0
S00024,A-1_U1,A-1,가끔·방치형,117,표준,1,3.7,85.1,75.5,9.6,2.608,22.0,0.9777,0,2.639,6.2,15.3,31.0
S00025,A-1_U1,A-1,가끔·방치형,124,표준,1,5.9,74.4,58.6,15.8,2.675,22.7,0.9726,0,2.64,3.7,9.6,25.75
S00026,A-1_U1,A-1,가끔·방치형,125,표준,1,6.7,58.6,40.1,18.6,2.769,21.2,0.9806,0,2.637,5.9,15.8,19.25
S00027,A-1_U1,A-1,가끔·방치형,130,표준,1,7.3,39.2,18.9,20.2,2.773,21.2,0.9632,0,2.639,6.7,18.6,12.5
S00028,A-1_U1,A-1,가끔·방치형,131,표준,1,4.6,19.2,5.2,14.1,3.061,22.5,0.9699,1,2.659,7.3,20.2,4.75
S00029,A-1_U1,A-1,가끔·방치형,134,표준,1,10.1,100.0,73.5,26.5,2.62,26.0,0.9835,0,2.777,4.6,14.1,35.5
S00030,A-1_U1,A-1,가끔·방치형,164,표준,1,3.0,73.5,65.2,8.3,2.77,26.7,0.9566,0,2.78,10.1,26.5,24.0
S00031,A-1_U1,A-1,가끔·방치형,166,표준,1,8.2,65.1,43.5,21.6,2.635,28.3,0.9923,0,2.799,3.0,8.3,21.0
S00032,A-1_U1,A-1,가끔·방치형,171,표준,1,4.7,42.9,30.4,12.5,2.666,26.0,0.9541,0,2.772,8.2,21.6,12.75
S00033,A-1_U1,A-1,가끔·방치형,172,표준,1,6.8,30.8,11.1,19.7,2.893,26.8,0.9918,0,2.75,4.7,12.5,7.25
S00034,A-1_U1,A-1,가끔·방치형,177,표준,1,5.7,99.7,84.0,15.7,2.754,29.9,0.9737,0,2.717,6.8,19.7,35.0
S00035,A-1_U1,A-1,가끔·방치형,180,표준,1,3.0,83.5,74.8,8.6,2.873,26.9,0.996,0,2.744,5.7,15.7,28.5
S00036,A-1_U1,A-1,가끔·방치형,184,표준,1,5.4,74.5,60.1,14.4,2.672,28.4,0.9911,0,2.764,3.0,8.6,26.25
S00037,A-1_U1,A-1,가끔·방치형,192,표준,1,8.7,59.7,36.6,23.1,2.655,30.7,0.9708,0,2.772,5.4,14.4,20.0
S00038,A-1_U1,A-1,가끔·방치형,194,표준,1,6.5,37.0,18.8,18.2,2.802,31.3,0.9745,0,2.769,8.7,23.1,11.0
S00039,A-1_U1,A-1,가끔·방치형,197,표준,1,5.5,99.9,85.4,14.5,2.635,26.0,0.9839,0,2.751,6.5,18.2,36.0
S00040,A-1_U1,A-1,가끔·방치형,198,표준,1,8.6,85.4,62.7,22.7,2.642,28.4,0.9563,0,2.727,5.5,14.5,29.75
S00041,A-1_U1,A-1,가끔·방치형,206,표준,1,5.6,63.3,47.7,15.6,2.78,29.7,0.9723,0,2.681,8.6,22.7,20.0
