model,name,user,day,amb,idle_before,soc_disp,soh_est,soh_true,dur,p_eco,p_std,p_turbo,nsw,k_design,k_true,mu_T,r_design,ft_design,T_pred,T_act,margin_pred,margin_act,aborted,soc_used
A-1,가끔·방치형,A-1_U1,5,16.3,5,99.97,0.9833,0.987,5.9,0.222,0.778,0.0,1,1.0,1.029,8,2.34,1.0,39.91,35.5,31.91,27.5,0,15.6
A-1,가끔·방치형,A-1_U1,9,12.7,3,83.37,0.995,0.9867,7.8,0.219,0.781,0.0,0,1.0,1.019,8,2.34,1.0,33.32,28.75,25.32,20.75,0,20.83
A-1,가끔·방치형,A-1_U1,12,15.0,2,61.99,0.9789,0.9866,4.1,0.144,0.856,0.0,2,1.0,1.022,8,2.34,1.0,23.84,20.25,15.84,12.25,0,11.87
A-1,가끔·방치형,A-1_U1,18,17.8,5,50.42,0.9945,0.9863,7.9,0.205,0.795,0.0,1,1.0,0.964,8,2.34,1.0,19.3,17.5,11.3,9.5,0,20.53
A-1,가끔·방치형,A-1_U1,19,14.8,0,100.0,0.9879,0.9862,11.2,0.198,0.802,0.0,1,1.0,1.039,8,2.34,1.0,40.11,34.5,32.11,26.5,0,29.98
A-1,가끔·방치형,A-1_U1,26,13.8,6,70.58,0.958,0.9859,7.3,0.259,0.741,0.0,1,1.0,0.989,8,2.34,1.0,26.85,24.5,18.85,16.5,0,18.96
A-1,가끔·방치형,A-1_U1,29,14.9,2,51.18,0.9867,0.9857,7.3,0.246,0.754,0.0,4,1.0,0.999,8,2.34,1.0,19.47,16.5,11.47,8.5,0,20.13
A-1,가끔·방치형,A-1_U1,38,16.8,8,99.89,1.0,0.9854,8.2,0.168,0.832,0.0,2,1.0,0.985,8,2.34,1.0,40.55,36.5,32.55,28.5,0,21.06
A-1,가끔·방치형,A-1_U1,39,15.0,0,77.52,1.0,0.9853,12.0,0.138,0.862,0.0,2,1.0,1.016,8,2.34,1.0,30.99,26.5,22.99,18.5,0,32.92
A-1,가끔·방치형,A-1_U1,46,16.1,6,45.05,0.9776,0.985,13.0,0.232,0.768,0.0,2,1.0,1.015,8,2.34,1.0,16.73,14.5,8.73,6.5,0,36.25
A-1,가끔·방치형,A-1_U1,52,16.1,5,99.79,0.9495,0.9846,4.7,0.146,0.854,0.0,1,1.0,0.994,8,2.34,1.0,38.46,35.5,30.46,27.5,0,12.55
A-1,가끔·방치형,A-1_U1,56,17.4,3,87.46,0.97,0.9843,13.4,0.198,0.802,0.0,0,1.0,0.998,8,2.34,1.0,34.18,31.25,26.18,23.25,0,34.1
A-1,가끔·방치형,A-1_U1,61,16.1,4,53.38,0.9723,0.984,6.3,0.237,0.763,0.0,1,1.0,1.013,8,2.34,1.0,20.1,17.5,12.1,9.5,0,17.2
A-1,가끔·방치형,A-1_U1,69,22.7,7,36.33,0.9762,0.9837,10.1,0.249,0.751,0.0,2,1.0,1.032,8,2.34,1.0,13.07,10.5,5.07,2.5,0,28.78
A-1,가끔·방치형,A-1_U1,72,18.4,2,91.79,0.9722,0.983,6.1,0.18,0.82,0.0,1,1.0,1.021,8,2.34,1.0,36.06,31.5,28.06,23.5,0,16.2
